locus_tag,accession,start,end,strand,gene_name,old_locus_tag,gene_product,ncbi_protein
SAOUHSC_00810,NC_007795.1,791533.0,792054.0,+,,,hypothetical protein,YP_499366.1
SAOUHSC_00811,NC_007795.1,792193.0,792723.0,+,,,hypothetical protein,YP_499367.1
SAOUHSC_00812,NC_007795.1,792986.0,795769.0,+,,,clumping factor,YP_499368.1
SAOUHSC_00816,NC_007795.1,797866.0,798888.0,+,,,extracellular matrix and plasma binding protein,YP_499371.1
SAOUHSC_00817,NC_007795.1,799223.0,799693.0,+,,,hypothetical protein,YP_499372.1
SAOUHSC_00818,NC_007795.1,800034.0,800720.0,+,,,thermonuclease,YP_499373.1
SAOUHSC_00819,NC_007795.1,801077.0,801277.0,+,,,hypothetical protein,YP_499374.1
SAOUHSC_00820,NC_007795.1,801773.0,801991.0,-,,,hypothetical protein,YP_499375.1
SAOUHSC_00821,NC_007795.1,802053.0,802337.0,-,,,hypothetical protein,YP_499376.1
SAOUHSC_00822,NC_007795.1,802425.0,802994.0,-,,,hypothetical protein,YP_499377.1
SAOUHSC_00823,NC_007795.1,803182.0,803370.0,-,,,hypothetical protein,YP_499378.1
SAOUHSC_00824,NC_007795.1,803399.0,803659.0,-,,,hypothetical protein,YP_499379.1
SAOUHSC_00825,NC_007795.1,804000.0,804203.0,+,,,hypothetical protein,YP_499380.1
SAOUHSC_00826,NC_007795.1,804200.0,804436.0,-,,,hypothetical protein,YP_499381.1
SAOUHSC_00827,NC_007795.1,804682.0,805242.0,+,,,hypothetical protein,YP_499382.1
SAOUHSC_00828,NC_007795.1,805315.0,805932.0,-,,,hypothetical protein,YP_499383.1
SAOUHSC_00830,NC_007795.1,806087.0,806581.0,-,,,hypothetical protein,YP_499384.1
SAOUHSC_00831,NC_007795.1,806980.0,807402.0,-,,,hypothetical protein,YP_499385.1
SAOUHSC_00832,NC_007795.1,807550.0,808266.0,+,,,3-dehydroquinase,YP_499386.1
SAOUHSC_00833,NC_007795.1,808349.0,808888.0,+,,,hypothetical protein,YP_499387.1
SAOUHSC_00834,NC_007795.1,809038.0,809358.0,-,,,thioredoxin,YP_499388.1
SAOUHSC_00835,NC_007795.1,809502.0,809858.0,+,,,hypothetical protein,YP_499389.1
SAOUHSC_00836,NC_007795.1,810016.0,810396.0,+,,,glycine cleavage system protein H,YP_499390.1
SAOUHSC_00837,NC_007795.1,810460.0,810573.0,+,,,hypothetical protein,YP_499391.1
SAOUHSC_00838,NC_007795.1,810575.0,811453.0,+,,,hypothetical protein,YP_499392.1
SAOUHSC_00839,NC_007795.1,811872.0,811985.0,+,,,hypothetical protein,YP_499393.1
SAOUHSC_00840,NC_007795.1,812195.0,812581.0,+,,,hypothetical protein,YP_499394.1
SAOUHSC_00841,NC_007795.1,812574.0,812870.0,+,,,hypothetical protein,YP_499395.1
SAOUHSC_00842,NC_007795.1,813120.0,814145.0,+,,,ABC transporter ATP-binding protein,YP_499396.1
SAOUHSC_00843,NC_007795.1,814138.0,814833.0,+,,,hypothetical protein,YP_499397.1
SAOUHSC_00844,NC_007795.1,814851.0,815672.0,+,,,hypothetical protein,YP_499398.1
SAOUHSC_00845,NC_007795.1,816026.0,816220.0,+,,,hypothetical protein,YP_499399.1
SAOUHSC_00846,NC_007795.1,816453.0,817304.0,-,,,hypothetical protein,YP_499400.1
SAOUHSC_00847,NC_007795.1,817632.0,818393.0,+,,,ABC transporter ATP-binding protein,YP_499401.1
SAOUHSC_00848,NC_007795.1,818491.0,819798.0,+,,,hypothetical protein,YP_499402.1
SAOUHSC_00849,NC_007795.1,819904.0,821154.0,+,,,aminotransferase,YP_499403.1
SAOUHSC_00850,NC_007795.1,821144.0,821608.0,+,,,hypothetical protein,YP_499404.1
SAOUHSC_00851,NC_007795.1,821759.0,823156.0,+,,,hypothetical protein,YP_499405.1
SAOUHSC_00852,NC_007795.1,823343.0,823480.0,+,,,hypothetical protein,YP_499406.1
SAOUHSC_00853,NC_007795.1,823486.0,823800.0,-,,,hypothetical protein,YP_499407.1
SAOUHSC_00854,NC_007795.1,824165.0,825205.0,+,,,hypothetical protein,YP_499408.1
SAOUHSC_00855,NC_007795.1,825219.0,826286.0,+,,,hypothetical protein,YP_499409.1
SAOUHSC_00857,NC_007795.1,826353.0,826451.0,+,,,hypothetical protein,YP_499410.1
SAOUHSC_00858,NC_007795.1,826499.0,827347.0,+,,,hypothetical protein,YP_499411.1
SAOUHSC_00859,NC_007795.1,827360.0,828187.0,+,,,hypothetical protein,YP_499412.1
SAOUHSC_00860,NC_007795.1,828214.0,829533.0,+,,,5-nucleotidase family protein,YP_499413.1
SAOUHSC_00861,NC_007795.1,829617.0,830534.0,+,,,lipoyl synthase,YP_499414.1
SAOUHSC_00862,NC_007795.1,830664.0,831047.0,+,,,hypothetical protein,YP_499415.1
SAOUHSC_00863,NC_007795.1,831126.0,831392.0,-,,,hypothetical protein,YP_499416.1
SAOUHSC_00864,NC_007795.1,831490.0,831924.0,+,,,hypothetical protein,YP_499417.1
SAOUHSC_00865,NC_007795.1,831924.0,832703.0,+,,,hypothetical protein,YP_499418.1
SAOUHSC_00866,NC_007795.1,832811.0,833695.0,+,,,D-isomer specific 2-hydroxyacid dehydrogenase NAD binding domain-containing protein,YP_499419.1
SAOUHSC_00867,NC_007795.1,833949.0,834059.0,+,,,hypothetical protein,YP_499420.1
SAOUHSC_00868,NC_007795.1,834107.0,834259.0,+,,,hypothetical protein,YP_499421.2
SAOUHSC_00869,NC_007795.1,834275.0,835732.0,+,,,D-alanine--poly(phosphoribitol) ligase subunit 1,YP_499422.1
SAOUHSC_00870,NC_007795.1,835729.0,836943.0,+,,,D-alanine transfer protein DltB,YP_499423.1
SAOUHSC_00871,NC_007795.1,836961.0,837197.0,+,,,D-alanine--poly(phosphoribitol) ligase subunit 2,YP_499424.1
SAOUHSC_00872,NC_007795.1,837194.0,838369.0,+,,,extramembranal protein,YP_499425.1
SAOUHSC_00873,NC_007795.1,838632.0,838874.0,-,,,hypothetical protein,YP_499426.1
SAOUHSC_00874,NC_007795.1,838975.0,839298.0,+,,,hypothetical protein,YP_499427.1
SAOUHSC_00875,NC_007795.1,839357.0,840421.0,-,,,hypothetical protein,YP_499428.1
SAOUHSC_00876,NC_007795.1,840738.0,840974.0,+,,,hypothetical protein,YP_499429.1
SAOUHSC_00877,NC_007795.1,840987.0,841346.0,+,,,hypothetical protein,YP_499430.1
SAOUHSC_00878,NC_007795.1,841800.0,843008.0,+,,,hypothetical protein,YP_499431.1
SAOUHSC_00879,NC_007795.1,843139.0,844614.0,+,,,cytosol aminopeptidase,YP_499432.1
SAOUHSC_00880,NC_007795.1,845025.0,846341.0,+,,,hypothetical protein,YP_499433.1
SAOUHSC_00881,NC_007795.1,846360.0,846734.0,+,,,hypothetical protein,YP_499434.1
SAOUHSC_00882,NC_007795.1,846790.0,847944.0,-,,,hypothetical protein,YP_499435.1
SAOUHSC_00883,NC_007795.1,848193.0,848549.0,-,,,monovalent cation/H+ antiporter subunit G,YP_499436.1
SAOUHSC_00884,NC_007795.1,848527.0,848820.0,-,,,monovalent cation/H+ antiporter subunit F,YP_499437.1
SAOUHSC_00885,NC_007795.1,848820.0,849299.0,-,,,monovalent cation/H+ antiporter subunit E,YP_499438.1
SAOUHSC_00886,NC_007795.1,849301.0,850797.0,-,,,monovalent cation/H+ antiporter subunit D,YP_499439.1
SAOUHSC_00887,NC_007795.1,850790.0,851119.0,-,,,monovalent cation/H+ antiporter subunit C,YP_499440.1
SAOUHSC_00888,NC_007795.1,851131.0,851559.0,-,,,monovalent cation/H+ antiporter subunit B,YP_499441.1
SAOUHSC_00889,NC_007795.1,851552.0,853957.0,-,,,monovalent cation/H+ antiporter subunit A,YP_499442.1
SAOUHSC_00890,NC_007795.1,854088.0,854471.0,-,,,hypothetical protein,YP_499443.1
SAOUHSC_00891,NC_007795.1,854535.0,855128.0,+,,,cyclophilin-type peptidyl-prolyl cis-trans isomerase,YP_499444.1
SAOUHSC_00892,NC_007795.1,855577.0,855921.0,+,,,hypothetical protein,YP_499445.1
SAOUHSC_00893,NC_007795.1,856283.0,857410.0,+,,,FMN oxidoreductase,YP_499446.1
SAOUHSC_00894,NC_007795.1,857718.0,858908.0,+,rocD,,ornithine--oxo-acid transaminase,YP_499447.1
SAOUHSC_00895,NC_007795.1,859017.0,860261.0,+,,,glutamate dehydrogenase,YP_499448.1
SAOUHSC_00896,NC_007795.1,860487.0,860678.0,+,,,hypothetical protein,YP_499449.1
SAOUHSC_00897,NC_007795.1,860764.0,861693.0,-,,,hypothetical protein,YP_499450.1
SAOUHSC_00898,NC_007795.1,861935.0,863314.0,-,,,argininosuccinate lyase,YP_499451.1
SAOUHSC_00899,NC_007795.1,863304.0,864509.0,-,,,argininosuccinate synthase,YP_499452.1
SAOUHSC_00900,NC_007795.1,864860.0,866191.0,+,pgi,,glucose-6-phosphate isomerase,YP_499453.1
SAOUHSC_00901,NC_007795.1,866516.0,867091.0,+,,,hypothetical protein,YP_499454.1
SAOUHSC_00902,NC_007795.1,867096.0,867620.0,+,,,signal peptidase IA,YP_499455.1
SAOUHSC_00903,NC_007795.1,867744.0,868211.0,+,,,signal peptidase IB,YP_499456.1
SAOUHSC_00904,NC_007795.1,868371.0,871847.0,+,,,exonuclease RexB,YP_499457.1
SAOUHSC_00905,NC_007795.1,871848.0,875501.0,+,,,ATP-dependent nuclease subunit A,YP_499458.1
SAOUHSC_00906,NC_007795.1,875667.0,876569.0,+,,,hypothetical protein,YP_499459.1
SAOUHSC_00907,NC_007795.1,876898.0,877287.0,+,,,hypothetical protein,YP_499460.1
SAOUHSC_00908,NC_007795.1,877458.0,878774.0,-,,,coenzyme A disulfide reductase,YP_499461.1
SAOUHSC_00909,NC_007795.1,878826.0,879650.0,-,,,hypothetical protein,YP_499462.1
SAOUHSC_00910,NC_007795.1,879806.0,880072.0,+,,,hypothetical protein,YP_499463.1
SAOUHSC_00911,NC_007795.1,880619.0,882433.0,+,,,hypothetical protein,YP_499464.1
SAOUHSC_00912,NC_007795.1,882636.0,885245.0,+,,,ATP-dependent Clp protease ATP-binding subunit ClpB,YP_499465.1
SAOUHSC_00913,NC_007795.1,885304.0,886173.0,-,,,hypothetical protein,YP_499466.1
SAOUHSC_00914,NC_007795.1,886283.0,887428.0,+,,,2-isopropylmalate synthase,YP_499467.1
SAOUHSC_00915,NC_007795.1,887412.0,888053.0,+,,,hypothetical protein,YP_499468.1
SAOUHSC_00916,NC_007795.1,888046.0,889164.0,+,,,hypothetical protein,YP_499469.1
SAOUHSC_00917,NC_007795.1,889148.0,889663.0,+,,,hypothetical protein,YP_499470.1
SAOUHSC_00919,NC_007795.1,890665.0,890850.0,-,,,hypothetical protein,YP_499472.1
SAOUHSC_00920,NC_007795.1,891145.0,892086.0,+,,,3-oxoacyl-ACP synthase III,YP_499473.1
SAOUHSC_00921,NC_007795.1,892098.0,893342.0,+,,,3-oxoacyl- synthase,YP_499474.1
SAOUHSC_00922,NC_007795.1,893397.0,893768.0,-,,,hypothetical protein,YP_499475.1
SAOUHSC_00923,NC_007795.1,894011.0,894937.0,+,,,hypothetical protein,YP_499476.1
SAOUHSC_00924,NC_007795.1,894937.0,896007.0,+,,,hypothetical protein,YP_499477.1
SAOUHSC_00925,NC_007795.1,896024.0,897106.0,+,,,hypothetical protein,YP_499478.1
SAOUHSC_00926,NC_007795.1,897096.0,898037.0,+,,,oligopeptide ABC transporter ATP-binding protein,YP_499479.1
SAOUHSC_00927,NC_007795.1,898056.0,899711.0,+,,,oligopeptide ABC transporter substrate-binding protein,YP_499480.1
SAOUHSC_00928,NC_007795.1,899923.0,901638.0,+,,,oligopeptide ABC transporter substrate-binding protein,YP_499481.1
SAOUHSC_00929,NC_007795.1,901689.0,902675.0,+,,,oligopeptide ABC transporter ATP-binding protein,YP_499482.1
SAOUHSC_00930,NC_007795.1,902678.0,903658.0,+,,,oligopeptide ABC transporter ATP-binding protein,YP_499483.1
SAOUHSC_00931,NC_007795.1,903651.0,904613.0,+,,,oligopeptide ABC transporter permease,YP_499484.1
SAOUHSC_00932,NC_007795.1,904625.0,905506.0,+,,,oligopeptide ABC transporter permease,YP_499485.1
SAOUHSC_00933,NC_007795.1,905548.0,906537.0,-,,,tryptophanyl-tRNA synthetase,YP_499486.1
SAOUHSC_00934,NC_007795.1,906832.0,907227.0,+,spxA,,transcriptional regulator Spx,YP_499487.1
SAOUHSC_00935,NC_007795.1,907598.0,908317.0,+,,,adaptor protein MecA,YP_499488.1
SAOUHSC_00936,NC_007795.1,908438.0,909424.0,+,,,hypothetical protein,YP_499489.1
SAOUHSC_00937,NC_007795.1,909472.0,911280.0,+,,,oligoendopeptidase F,YP_499490.1
SAOUHSC_00938,NC_007795.1,911740.0,912546.0,-,,,hypothetical protein,YP_499491.1
SAOUHSC_00939,NC_007795.1,912569.0,912886.0,-,,,hypothetical protein,YP_499492.1
SAOUHSC_00940,NC_007795.1,913038.0,913631.0,-,,,hypothetical protein,YP_499493.1
SAOUHSC_00941,NC_007795.1,913817.0,914164.0,+,,,hypothetical protein,YP_499494.1
SAOUHSC_00942,NC_007795.1,914181.0,914816.0,+,,,GTP pyrophosphokinase,YP_499495.1
SAOUHSC_00943,NC_007795.1,914833.0,915642.0,+,ppnK,,inorganic polyphosphate/ATP-NAD kinase,YP_499496.1
SAOUHSC_00944,NC_007795.1,915639.0,916493.0,+,,,hypothetical protein,YP_499497.1
SAOUHSC_00945,NC_007795.1,916514.0,917899.0,+,,,magnesium transporter,YP_499498.1
SAOUHSC_00946,NC_007795.1,917909.0,919753.0,+,,,hypothetical protein,YP_499499.1
SAOUHSC_00947,NC_007795.1,920031.0,920801.0,+,,,enoyl-(acyl carrier protein) reductase,YP_499500.1
SAOUHSC_00948,NC_007795.1,920996.0,922081.0,-,,,hypothetical protein,YP_499501.1
SAOUHSC_00949,NC_007795.1,922423.0,923991.0,+,,,hypothetical protein,YP_499502.1
SAOUHSC_00950,NC_007795.1,924133.0,924891.0,+,,,hypothetical protein,YP_499503.1
SAOUHSC_00951,NC_007795.1,925085.0,925594.0,+,,,hypothetical protein,YP_499504.1
SAOUHSC_00952,NC_007795.1,925707.0,926915.0,-,,,hypothetical protein,YP_499505.1
SAOUHSC_00953,NC_007795.1,926875.0,928050.0,-,,,diacylglycerol glucosyltransferase,YP_499506.1
SAOUHSC_00954,NC_007795.1,928483.0,929964.0,+,,,UDP-N-acetylmuramoylalanyl-D-glutamate--L-lysine ligase,YP_499507.1
SAOUHSC_00955,NC_007795.1,929948.0,930208.0,+,,,hypothetical protein,YP_499508.1
SAOUHSC_00956,NC_007795.1,930208.0,931770.0,+,prfC,,peptide chain release factor 3,YP_499509.1
SAOUHSC_00957,NC_007795.1,932072.0,932875.0,+,,,hypothetical protein,YP_499510.1
SAOUHSC_00958,NC_007795.1,933094.0,935418.0,+,,,serine protease HtrA,YP_499511.1
SAOUHSC_00959,NC_007795.1,935435.0,936793.0,+,,,hypothetical protein,YP_499512.1
SAOUHSC_00960,NC_007795.1,936932.0,938443.0,+,,,hypothetical protein,YP_499513.1
SAOUHSC_00961,NC_007795.1,938930.0,939460.0,-,,,hypothetical protein,YP_499514.1
SAOUHSC_00962,NC_007795.1,939709.0,939927.0,+,,,hypothetical protein,YP_499515.1
SAOUHSC_00963,NC_007795.1,940008.0,940994.0,-,,,lipoyltransferase and lipoate-protein ligase,YP_499516.1
SAOUHSC_00964,NC_007795.1,941193.0,941369.0,+,,,hypothetical protein,YP_499517.1
SAOUHSC_00965,NC_007795.1,941384.0,941986.0,+,,,hypothetical protein,YP_499518.1
SAOUHSC_00966,NC_007795.1,942257.0,942364.0,+,,,hypothetical protein,YP_499519.1
SAOUHSC_00967,NC_007795.1,942903.0,943004.0,+,,,hypothetical protein,YP_499520.1
SAOUHSC_00968,NC_007795.1,943330.0,945294.0,+,,,hypothetical protein,YP_499521.1
SAOUHSC_00969,NC_007795.1,945297.0,945617.0,+,,,hypothetical protein,YP_499522.1
SAOUHSC_00970,NC_007795.1,945614.0,946255.0,+,,,ABC transporter ATP-binding protein,YP_499523.1
SAOUHSC_00971,NC_007795.1,946343.0,946633.0,-,,,hypothetical protein,YP_499524.1
SAOUHSC_00972,NC_007795.1,946912.0,947199.0,+,,,hypothetical protein,YP_499525.1
SAOUHSC_00975,NC_007795.1,948776.0,949132.0,-,,,hypothetical protein,YP_499528.1
SAOUHSC_00976,NC_007795.1,949716.0,950579.0,+,,,hypothetical protein,YP_499529.1
SAOUHSC_00977,NC_007795.1,950625.0,950756.0,-,,,hypothetical protein,YP_499530.1
SAOUHSC_00978,NC_007795.1,950820.0,951110.0,-,,,hypothetical protein,YP_499531.1
SAOUHSC_00979,NC_007795.1,951200.0,951751.0,+,,,hypothetical protein,YP_499532.1
SAOUHSC_00980,NC_007795.1,951802.0,952740.0,-,,,1%2C4-dihydroxy-2-naphthoate octaprenyltransferase,YP_499533.1
SAOUHSC_00981,NC_007795.1,952891.0,952995.0,+,,,hypothetical protein,YP_499534.1
SAOUHSC_00982,NC_007795.1,953072.0,954283.0,+,,,hypothetical protein,YP_499535.1
SAOUHSC_00983,NC_007795.1,954270.0,955943.0,+,,,2-succinyl-6-hydroxy-2%2C4-cyclohexadiene-1-carboxylic acid synthase/2-oxoglutarate decarboxylase,YP_499536.1
SAOUHSC_00984,NC_007795.1,955930.0,956733.0,+,,,2-succinyl-6-hydroxy-2%2C4-cyclohexadiene-1-carboxylate synthase,YP_499537.1
SAOUHSC_00985,NC_007795.1,956726.0,957547.0,+,,,1%2C4-dihydroxy-2-naphthoyl-CoA synthase,YP_499538.1
SAOUHSC_00986,NC_007795.1,957786.0,958115.0,-,,,cysteine protease,YP_499539.1
SAOUHSC_00987,NC_007795.1,958153.0,959334.0,-,,,cysteine protease,YP_499540.1
SAOUHSC_00988,NC_007795.1,959416.0,960426.0,-,,,glutamyl endopeptidase,YP_499541.1
SAOUHSC_00989,NC_007795.1,960954.0,962108.0,-,,,hypothetical protein,YP_499542.1
SAOUHSC_00991,NC_007795.1,962304.0,963314.0,-,,,hypothetical protein,YP_499543.1
SAOUHSC_00992,NC_007795.1,963467.0,963886.0,+,,,MarR family transcriptional regulator,YP_499544.1
SAOUHSC_00993,NC_007795.1,963913.0,964023.0,+,,,hypothetical protein,YP_499545.1
SAOUHSC_00994,NC_007795.1,964093.0,967863.0,-,,,bifunctional autolysin,YP_499546.1
SAOUHSC_00995,NC_007795.1,968091.0,968525.0,-,,,hypothetical protein,YP_499547.1
SAOUHSC_00996,NC_007795.1,968680.0,969150.0,-,,,hypothetical protein,YP_499548.1
SAOUHSC_00997,NC_007795.1,969198.0,970415.0,-,,,hypothetical protein,YP_499549.1
SAOUHSC_00998,NC_007795.1,970866.0,972059.0,+,,,methicillin resistance protein FmtA,YP_499550.1
SAOUHSC_00999,NC_007795.1,972596.0,972874.0,-,,,quinol oxidase subunit IV,YP_499551.1
SAOUHSC_01000,NC_007795.1,972883.0,973488.0,-,,,cytochrome c oxidase subunit III,YP_499552.1
SAOUHSC_01001,NC_007795.1,973478.0,975466.0,-,,,quinol oxidase subunit I,YP_499553.1
SAOUHSC_01002,NC_007795.1,975466.0,976566.0,-,,,quinol oxidase AA3 subunit II,YP_499554.1
SAOUHSC_01003,NC_007795.1,976868.0,976990.0,+,,,hypothetical protein,YP_499555.1
SAOUHSC_01005,NC_007795.1,977138.0,977455.0,-,,,hypothetical protein,YP_499556.1
SAOUHSC_01007,NC_007795.1,978261.0,979121.0,-,,,bifunctional 5%2C10-methylene-tetrahydrofolate dehydrogenase/ 5%2C10-methylene-tetrahydrofolate cyclohydrolase,YP_499557.1
SAOUHSC_01008,NC_007795.1,979385.0,979804.0,+,,,5-(carboxyamino)imidazole ribonucleotide mutase,YP_499558.1
SAOUHSC_01009,NC_007795.1,979791.0,980915.0,+,,,5-(carboxyamino)imidazole ribonucleotide synthase,YP_499559.1
SAOUHSC_01010,NC_007795.1,980919.0,981623.0,+,,,phosphoribosylaminoimidazole-succinocarboxamide synthase,YP_499560.1
SAOUHSC_01011,NC_007795.1,981623.0,981886.0,+,,,phosphoribosylformylglycinamidine synthase PurS,YP_499561.1
SAOUHSC_01012,NC_007795.1,981888.0,982559.0,+,,,phosphoribosylformylglycinamidine synthase I,YP_499562.1
SAOUHSC_01013,NC_007795.1,982552.0,984741.0,+,,,phosphoribosylformylglycinamidine synthase II,YP_499563.1
SAOUHSC_01014,NC_007795.1,984720.0,986204.0,+,,,amidophosphoribosyltransferase,YP_499564.1
SAOUHSC_01015,NC_007795.1,986197.0,987225.0,+,,,phosphoribosylaminoimidazole synthetase,YP_499565.1
SAOUHSC_01016,NC_007795.1,987228.0,987794.0,+,,,phosphoribosylglycinamide formyltransferase,YP_499566.1
SAOUHSC_01017,NC_007795.1,987809.0,989287.0,+,purH,,bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase,YP_499567.1
SAOUHSC_01018,NC_007795.1,989309.0,990556.0,+,,,phosphoribosylamine--glycine ligase,YP_499568.1
SAOUHSC_01019,NC_007795.1,990821.0,991627.0,-,,,hypothetical protein,YP_499569.1
SAOUHSC_01021,NC_007795.1,991620.0,993020.0,-,,,hypothetical protein,YP_499570.1
SAOUHSC_01022,NC_007795.1,993035.0,993610.0,-,,,hypothetical protein,YP_499571.1
SAOUHSC_01023,NC_007795.1,993974.0,994093.0,+,,,hypothetical protein,YP_499572.1
SAOUHSC_01024,NC_007795.1,994194.0,994328.0,-,,,hypothetical protein,YP_499573.1
SAOUHSC_01025,NC_007795.1,994480.0,995775.0,+,,,hypothetical protein,YP_499574.1
SAOUHSC_01026,NC_007795.1,996200.0,997372.0,+,,,hypothetical protein,YP_499575.1
SAOUHSC_01027,NC_007795.1,997426.0,997968.0,+,,,hypothetical protein,YP_499576.1
SAOUHSC_01028,NC_007795.1,998122.0,998388.0,+,,,phosphocarrier protein HPr,YP_499577.1
SAOUHSC_01029,NC_007795.1,998391.0,1000109.0,+,,,phosphoenolpyruvate-protein phosphotransferase,YP_499578.1
SAOUHSC_01030,NC_007795.1,1000346.0,1000579.0,-,,,hypothetical protein,YP_499579.1
SAOUHSC_01031,NC_007795.1,1000777.0,1002138.0,+,,,cytochrome d ubiquinol oxidase subunit I,YP_499580.1
SAOUHSC_01032,NC_007795.1,1002135.0,1003154.0,+,,,cytochrome d ubiquinol oxidase subunit II,YP_499581.1
SAOUHSC_01034,NC_007795.1,1003287.0,1003949.0,+,,,hypothetical protein,YP_499582.1
SAOUHSC_A00992,NC_007795.1,1003967.0,1004122.0,+,,,hypothetical protein,YP_499583.1
SAOUHSC_01035,NC_007795.1,1004298.0,1005995.0,-,,,hypothetical protein,YP_499584.1
SAOUHSC_01036,NC_007795.1,1005995.0,1006213.0,-,,,hypothetical protein,YP_499585.1
SAOUHSC_01037,NC_007795.1,1006242.0,1006364.0,-,,,hypothetical protein,YP_499586.1
SAOUHSC_01038,NC_007795.1,1006694.0,1007245.0,-,def,,peptide deformylase,YP_499587.1
SAOUHSC_01039,NC_007795.1,1007610.0,1008236.0,+,,,hypothetical protein,YP_499588.1
SAOUHSC_01040,NC_007795.1,1008407.0,1009519.0,+,,,pyruvate dehydrogenase complex%2C E1 component subunit alpha,YP_499589.1
SAOUHSC_01041,NC_007795.1,1009523.0,1010500.0,+,,,pyruvate dehydrogenase complex%2C E1 component subunit beta,YP_499590.1
SAOUHSC_01042,NC_007795.1,1010591.0,1011883.0,+,,,branched-chain alpha-keto acid dehydrogenase subunit E2,YP_499591.1
SAOUHSC_01043,NC_007795.1,1011887.0,1013293.0,+,,,dihydrolipoamide dehydrogenase,YP_499592.1
SAOUHSC_01044,NC_007795.1,1013461.0,1013736.0,+,,,hypothetical protein,YP_499593.1
SAOUHSC_01045,NC_007795.1,1013880.0,1014419.0,+,,,hypothetical protein,YP_499594.1
SAOUHSC_01046,NC_007795.1,1014432.0,1015526.0,+,,,ABC transporter,YP_499595.1
SAOUHSC_01047,NC_007795.1,1015519.0,1016316.0,+,,,spermidine/putrescine ABC transporter permease,YP_499596.1
SAOUHSC_01048,NC_007795.1,1016322.0,1017131.0,+,,,spermidine/putrescine ABC transporter permease,YP_499597.1
SAOUHSC_01049,NC_007795.1,1017131.0,1018204.0,+,,,spermidine/putrescine ABC transporter substrate-binding protein,YP_499598.1
SAOUHSC_01050,NC_007795.1,1018278.0,1019297.0,+,,,hypothetical protein,YP_499599.1
SAOUHSC_01051,NC_007795.1,1019580.0,1019999.0,+,,,hypothetical protein,YP_499600.1
SAOUHSC_01053,NC_007795.1,1020081.0,1021433.0,-,,,manganese transport protein MntH,YP_499601.1
SAOUHSC_01054,NC_007795.1,1021617.0,1022231.0,-,,,hypothetical protein,YP_499602.1
SAOUHSC_01055,NC_007795.1,1022388.0,1023215.0,+,,,inositol monophosphatase family protein,YP_499603.1
SAOUHSC_01055a,NC_007795.1,1023369.0,1023560.0,-,,,membrane protein,YP_008530239.1
SAOUHSC_01058,NC_007795.1,1023662.0,1025509.0,+,,,GTP-binding protein TypA,YP_499605.1
SAOUHSC_01060,NC_007795.1,1025649.0,1025816.0,-,,,hypothetical protein,YP_499606.1
SAOUHSC_01061,NC_007795.1,1025818.0,1026300.0,-,,,hypothetical protein,YP_499607.1
SAOUHSC_01062,NC_007795.1,1026441.0,1026716.0,+,,,hypothetical protein,YP_499608.1
SAOUHSC_01063,NC_007795.1,1027030.0,1028256.0,+,,,hypothetical protein,YP_499609.1
SAOUHSC_01064,NC_007795.1,1028810.0,1032262.0,+,,,pyruvate carboxylase,YP_499610.1
SAOUHSC_01065,NC_007795.1,1032402.0,1033472.0,-,,,heme A synthase,YP_499611.1
SAOUHSC_01066,NC_007795.1,1033753.0,1034664.0,+,,,protoheme IX farnesyltransferase,YP_499612.1
SAOUHSC_01067,NC_007795.1,1034689.0,1035150.0,+,,,hypothetical protein,YP_499613.1
SAOUHSC_01068,NC_007795.1,1035362.0,1035565.0,+,,,hypothetical protein,YP_499614.1
SAOUHSC_01069,NC_007795.1,1035477.0,1036514.0,+,,,hypothetical protein,YP_499615.2
SAOUHSC_01070,NC_007795.1,1036530.0,1036964.0,+,,,hypothetical protein,YP_499616.1
SAOUHSC_01071,NC_007795.1,1037027.0,1037953.0,-,,,glycerophosphoryl diester phosphodiesterase,YP_499617.1
SAOUHSC_01072,NC_007795.1,1038192.0,1038446.0,+,,,hypothetical protein,YP_499618.1
SAOUHSC_01073,NC_007795.1,1038449.0,1038838.0,-,,,hypothetical protein,YP_499619.1
SAOUHSC_01074,NC_007795.1,1038980.0,1039450.0,+,,,hypothetical protein,YP_499620.1
SAOUHSC_01075,NC_007795.1,1039452.0,1039934.0,+,coaD,,phosphopantetheine adenylyltransferase,YP_499621.1
SAOUHSC_01076,NC_007795.1,1039996.0,1041135.0,-,,,hypothetical protein,YP_499622.1
SAOUHSC_01077,NC_007795.1,1041262.0,1041819.0,+,,,hypothetical protein,YP_499623.1
SAOUHSC_01079,NC_007795.1,1042227.0,1044164.0,-,,,neurofilament protein,YP_499626.1
SAOUHSC_01081,NC_007795.1,1044368.0,1045420.0,-,,,hypothetical protein,YP_499627.1
SAOUHSC_01082,NC_007795.1,1045629.0,1046312.0,+,,,hypothetical protein,YP_499628.1
SAOUHSC_01084,NC_007795.1,1046312.0,1047388.0,+,,,hypothetical protein,YP_499629.1
SAOUHSC_01085,NC_007795.1,1047415.0,1048263.0,+,,,hypothetical protein,YP_499630.1
SAOUHSC_01086,NC_007795.1,1048276.0,1049052.0,+,,,iron compound ABC transporter permease,YP_499631.1
SAOUHSC_01087,NC_007795.1,1048947.0,1049240.0,+,,,iron compound ABC transporter permease,YP_499632.1
